GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02,HC02_EST_VC36
Id,Id2,Geography,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder
8600000US01089,01089,ZCTA5 01089,54434,38895
8600000US01092,01092,ZCTA5 01092,54527,60242
8600000US01093,01093,ZCTA5 01093,80625,14722
8600000US01094,01094,ZCTA5 01094,16434,15972
8600000US01095,01095,ZCTA5 01095,90275,50962
8600000US01096,01096,ZCTA5 01096,63036,34625
8600000US01097,01097,ZCTA5 01097,39583,-
8600000US01098,01098,ZCTA5 01098,66406,35000
8600000US01103,01103,ZCTA5 01103,15778,17356
8600000US01104,01104,ZCTA5 01104,33408,19902
8600000US01105,01105,ZCTA5 01105,18008,15069
8600000US01106,01106,ZCTA5 01106,96995,62031
8600000US01107,01107,ZCTA5 01107,20484,12096
8600000US01108,01108,ZCTA5 01108,36590,29526
8600000US01109,01109,ZCTA5 01109,32174,20533
8600000US01118,01118,ZCTA5 01118,61488,51574
8600000US01119,01119,ZCTA5 01119,47551,32237
8600000US01128,01128,ZCTA5 01128,79500,48646
8600000US01129,01129,ZCTA5 01129,60481,47656
8600000US01151,01151,ZCTA5 01151,32034,31117
8600000US01199,01199,ZCTA5 01199,-,-
8600000US01201,01201,ZCTA5 01201,42620,32401
8600000US01220,01220,ZCTA5 01220,40283,33508
8600000US01222,01222,ZCTA5 01222,54886,32250
8600000US01223,01223,ZCTA5 01223,46384,44625
8600000US01224,01224,ZCTA5 01224,87717,-
8600000US01225,01225,ZCTA5 01225,49260,32827
8600000US01226,01226,ZCTA5 01226,51563,39063
8600000US01229,01229,ZCTA5 01229,68958,-
8600000US01230,01230,ZCTA5 01230,52305,34447
8600000US01235,01235,ZCTA5 01235,62446,40509
8600000US01236,01236,ZCTA5 01236,52083,54583
8600000US01237,01237,ZCTA5 01237,66136,27500
8600000US01238,01238,ZCTA5 01238,54155,39342
8600000US01240,01240,ZCTA5 01240,51154,46234
8600000US01242,01242,ZCTA5 01242,113846,52589
8600000US01243,01243,ZCTA5 01243,82778,50000
8600000US01244,01244,ZCTA5 01244,29444,20000
8600000US01245,01245,ZCTA5 01245,53333,26964
8600000US01247,01247,ZCTA5 01247,39214,20450
8600000US01253,01253,ZCTA5 01253,58750,56250
8600000US01254,01254,ZCTA5 01254,94766,48125
8600000US01255,01255,ZCTA5 01255,62708,34861
8600000US01256,01256,ZCTA5 01256,57000,46250
8600000US01257,01257,ZCTA5 01257,65080,31719
8600000US01258,01258,ZCTA5 01258,62981,59167
8600000US01259,01259,ZCTA5 01259,67500,36200
8600000US01260,01260,ZCTA5 01260,70833,54236
8600000US01262,01262,ZCTA5 01262,33000,27083
8600000US01264,01264,ZCTA5 01264,71875,31250
8600000US01266,01266,ZCTA5 01266,69769,50909
8600000US01267,01267,ZCTA5 01267,73042,32344
8600000US01270,01270,ZCTA5 01270,74500,57813
8600000US01301,01301,ZCTA5 01301,48442,36928
8600000US01330,01330,ZCTA5 01330,70870,57917
8600000US01331,01331,ZCTA5 01331,51488,38506
8600000US01337,01337,ZCTA5 01337,49659,32500
8600000US01338,01338,ZCTA5 01338,91250,-
8600000US01339,01339,ZCTA5 01339,49271,41184
8600000US01340,01340,ZCTA5 01340,54632,32778
8600000US01341,01341,ZCTA5 01341,76818,49722
8600000US01342,01342,ZCTA5 01342,96622,79453
8600000US01343,01343,ZCTA5 01343,47083,-
8600000US01344,01344,ZCTA5 01344,53182,38611
8600000US01346,01346,ZCTA5 01346,71250,7188
8600000US01347,01347,ZCTA5 01347,29485,-
8600000US01349,01349,ZCTA5 01349,52500,19500
8600000US01350,01350,ZCTA5 01350,37083,14375
8600000US01351,01351,ZCTA5 01351,58403,42731
8600000US01354,01354,ZCTA5 01354,67375,56667
8600000US01355,01355,ZCTA5 01355,63036,42500
8600000US01360,01360,ZCTA5 01360,62292,47115
8600000US01364,01364,ZCTA5 01364,43470,23798
8600000US01366,01366,ZCTA5 01366,75694,32321
8600000US01367,01367,ZCTA5 01367,47500,32125
8600000US01368,01368,ZCTA5 01368,58359,45313
8600000US01370,01370,ZCTA5 01370,58571,39779
8600000US01373,01373,ZCTA5 01373,59821,47750
8600000US01375,01375,ZCTA5 01375,53938,46250
8600000US01376,01376,ZCTA5 01376,39615,35263
8600000US01378,01378,ZCTA5 01378,59750,44659
8600000US01379,01379,ZCTA5 01379,53594,22083
8600000US01420,01420,ZCTA5 01420,47421,33058
8600000US01430,01430,ZCTA5 01430,81690,34531
8600000US01431,01431,ZCTA5 01431,75435,80469
8600000US01432,01432,ZCTA5 01432,58519,44444
8600000US01434,01434,ZCTA5 01434,101000,-
8600000US01436,01436,ZCTA5 01436,68771,40559
8600000US01438,01438,ZCTA5 01438,50599,-
8600000US01440,01440,ZCTA5 01440,48824,30370
8600000US01450,01450,ZCTA5 01450,117037,49741
8600000US01451,01451,ZCTA5 01451,144143,110577
8600000US01452,01452,ZCTA5 01452,77694,45139
8600000US01453,01453,ZCTA5 01453,59720,42741
8600000US01460,01460,ZCTA5 01460,107518,70000
8600000US01462,01462,ZCTA5 01462,78452,50238
8600000US01463,01463,ZCTA5 01463,85150,68125
8600000US01464,01464,ZCTA5 01464,69750,55699
8600000US01467,01467,ZCTA5 01467,174861,9196
8600000US01468,01468,ZCTA5 01468,82849,48917
8600000US01469,01469,ZCTA5 01469,79140,37206
8600000US01473,01473,ZCTA5 01473,80294,72386
8600000US01474,01474,ZCTA5 01474,88646,50000
8600000US01475,01475,ZCTA5 01475,61937,39461
8600000US01501,01501,ZCTA5 01501,73561,55091
8600000US01503,01503,ZCTA5 01503,95438,80787
8600000US01504,01504,ZCTA5 01504,74042,72917
8600000US01505,01505,ZCTA5 01505,94676,63333
8600000US01506,01506,ZCTA5 01506,62209,31528
8600000US01507,01507,ZCTA5 01507,95058,50625
8600000US01510,01510,ZCTA5 01510,66308,47429
8600000US01515,01515,ZCTA5 01515,62202,59250
8600000US01516,01516,ZCTA5 01516,80885,21125
8600000US01518,01518,ZCTA5 01518,85224,"2,500-"
8600000US01519,01519,ZCTA5 01519,109050,56620
8600000US01520,01520,ZCTA5 01520,98879,59500
8600000US01521,01521,ZCTA5 01521,69097,39766
8600000US01522,01522,ZCTA5 01522,88155,70375
8600000US01523,01523,ZCTA5 01523,82741,32298
8600000US01524,01524,ZCTA5 01524,71528,70069
8600000US01525,01525,ZCTA5 01525,44167,43333
8600000US01527,01527,ZCTA5 01527,73436,51213
8600000US01529,01529,ZCTA5 01529,73611,84167
8600000US01531,01531,ZCTA5 01531,85625,42500
8600000US01532,01532,ZCTA5 01532,103506,57063
8600000US01534,01534,ZCTA5 01534,91518,46186
8600000US01535,01535,ZCTA5 01535,58349,45893
8600000US01536,01536,ZCTA5 01536,89263,70341
8600000US01537,01537,ZCTA5 01537,69928,34054
8600000US01540,01540,ZCTA5 01540,64877,30703
8600000US01541,01541,ZCTA5 01541,109008,58147
8600000US01542,01542,ZCTA5 01542,73000,67661
8600000US01543,01543,ZCTA5 01543,86453,36161
8600000US01545,01545,ZCTA5 01545,92100,42442
8600000US01550,01550,ZCTA5 01550,46955,40931
8600000US01560,01560,ZCTA5 01560,68917,39358
8600000US01561,01561,ZCTA5 01561,35761,-
8600000US01562,01562,ZCTA5 01562,59359,27212
8600000US01564,01564,ZCTA5 01564,102847,42031
8600000US01566,01566,ZCTA5 01566,82171,70136
8600000US01568,01568,ZCTA5 01568,114528,49821
8600000US01569,01569,ZCTA5 01569,84861,67033
8600000US01570,01570,ZCTA5 01570,48822,40547
8600000US01571,01571,ZCTA5 01571,70513,51827
8600000US01581,01581,ZCTA5 01581,97535,90403
8600000US01583,01583,ZCTA5 01583,76750,45000
8600000US01585,01585,ZCTA5 01585,63333,39138
8600000US01588,01588,ZCTA5 01588,62299,40781
8600000US01590,01590,ZCTA5 01590,113967,49732
8600000US01602,01602,ZCTA5 01602,62421,45875
8600000US01603,01603,ZCTA5 01603,45184,29241
8600000US01604,01604,ZCTA5 01604,50348,45763
8600000US01605,01605,ZCTA5 01605,36147,27413
