GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02,HC02_EST_VC10,HC02_EST_VC22,HC02_EST_VC30
Id,Id2,Geography,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households
8600000US01056,01056,ZCTA5 01056,64537,-,76472,31953
8600000US01057,01057,ZCTA5 01057,74439,54028,86181,45815
8600000US01060,01060,ZCTA5 01060,56128,-,86230,36649
8600000US01062,01062,ZCTA5 01062,73913,-,96554,42833
8600000US01063,01063,ZCTA5 01063,-,-,-,-
8600000US01066,01066,ZCTA5 01066,-,-,-,-
8600000US01068,01068,ZCTA5 01068,85052,-,90268,50000
8600000US01069,01069,ZCTA5 01069,57994,-,77353,30389
8600000US01070,01070,ZCTA5 01070,55208,-,64250,41000
8600000US01071,01071,ZCTA5 01071,70938,-,81071,46422
8600000US01072,01072,ZCTA5 01072,75658,-,94135,41583
8600000US01073,01073,ZCTA5 01073,90318,-,103616,47155
8600000US01074,01074,ZCTA5 01074,-,-,-,-
8600000US01075,01075,ZCTA5 01075,61821,96250,78077,35203
8600000US01077,01077,ZCTA5 01077,76576,101377,92059,37088
8600000US01079,01079,ZCTA5 01079,31778,-,44208,25707
8600000US01080,01080,ZCTA5 01080,51023,-,47350,38523
8600000US01081,01081,ZCTA5 01081,51182,-,62727,21950
8600000US01082,01082,ZCTA5 01082,52178,-,71117,30231
8600000US01083,01083,ZCTA5 01083,45954,-,-,20054
8600000US01084,01084,ZCTA5 01084,68750,-,81667,-
8600000US01085,01085,ZCTA5 01085,63283,43714,80314,35274
8600000US01086,01086,ZCTA5 01086,-,-,-,-
8600000US01088,01088,ZCTA5 01088,61875,-,55769,60875
8600000US01089,01089,ZCTA5 01089,50649,23790,66864,34606
8600000US01092,01092,ZCTA5 01092,77150,-,77250,-
8600000US01093,01093,ZCTA5 01093,84167,-,119167,72750
8600000US01094,01094,ZCTA5 01094,18454,-,93472,15990
8600000US01095,01095,ZCTA5 01095,95679,-,110618,29462
8600000US01096,01096,ZCTA5 01096,73589,-,84476,35694
8600000US01097,01097,ZCTA5 01097,31250,-,-,-
8600000US01098,01098,ZCTA5 01098,77083,-,95156,45769
8600000US01103,01103,ZCTA5 01103,16760,-,15079,20625
8600000US01104,01104,ZCTA5 01104,28590,32083,34409,20051
8600000US01105,01105,ZCTA5 01105,16455,15147,17942,12408
8600000US01106,01106,ZCTA5 01106,105822,127750,122404,43542
8600000US01107,01107,ZCTA5 01107,22956,22813,28880,12229
8600000US01108,01108,ZCTA5 01108,36890,-,37487,25016
8600000US01109,01109,ZCTA5 01109,35076,35952,37463,20594
8600000US01118,01118,ZCTA5 01118,60295,49531,62232,44955
8600000US01119,01119,ZCTA5 01119,49083,-,56250,28193
8600000US01128,01128,ZCTA5 01128,70078,-,92738,53162
8600000US01129,01129,ZCTA5 01129,60776,-,69385,38311
8600000US01151,01151,ZCTA5 01151,36541,57826,40177,22069
8600000US01199,01199,ZCTA5 01199,-,-,-,-
8600000US01201,01201,ZCTA5 01201,45893,33609,61736,28757
8600000US01220,01220,ZCTA5 01220,48422,-,63394,34560
8600000US01222,01222,ZCTA5 01222,76944,-,79737,44722
8600000US01223,01223,ZCTA5 01223,72981,-,80256,46500
8600000US01224,01224,ZCTA5 01224,36324,-,-,36581
8600000US01225,01225,ZCTA5 01225,58145,-,72652,33611
8600000US01226,01226,ZCTA5 01226,57202,-,69065,31625
8600000US01229,01229,ZCTA5 01229,27083,-,-,11328
8600000US01230,01230,ZCTA5 01230,59702,-,84658,36715
8600000US01235,01235,ZCTA5 01235,60718,40833,71806,39722
8600000US01236,01236,ZCTA5 01236,80385,-,86068,-
8600000US01237,01237,ZCTA5 01237,83311,-,92417,28281
8600000US01238,01238,ZCTA5 01238,63109,-,77438,34334
8600000US01240,01240,ZCTA5 01240,54250,-,106929,29167
8600000US01242,01242,ZCTA5 01242,56840,-,-,56417
8600000US01243,01243,ZCTA5 01243,76250,-,91667,51042
8600000US01244,01244,ZCTA5 01244,-,-,150114,-
8600000US01245,01245,ZCTA5 01245,66136,-,74028,39712
8600000US01247,01247,ZCTA5 01247,38007,-,54897,21211
8600000US01253,01253,ZCTA5 01253,71010,-,82167,27917
8600000US01254,01254,ZCTA5 01254,89583,-,115556,48750
8600000US01255,01255,ZCTA5 01255,67333,-,79792,42396
8600000US01256,01256,ZCTA5 01256,49000,-,64205,23750
8600000US01257,01257,ZCTA5 01257,50688,-,78672,32115
8600000US01258,01258,ZCTA5 01258,65739,-,95625,32500
8600000US01259,01259,ZCTA5 01259,61125,-,115313,48750
8600000US01260,01260,ZCTA5 01260,101979,-,-,-
8600000US01262,01262,ZCTA5 01262,45500,-,64167,30988
8600000US01264,01264,ZCTA5 01264,75417,-,81250,69375
8600000US01266,01266,ZCTA5 01266,68542,-,96250,49107
8600000US01267,01267,ZCTA5 01267,73085,65417,94293,50046
8600000US01270,01270,ZCTA5 01270,71250,-,91250,30938
8600000US01301,01301,ZCTA5 01301,49024,38500,68225,30026
8600000US01330,01330,ZCTA5 01330,79118,25375,92500,45556
